,date,ticker,value
468,2021-05-01,SPSB,116911
469,2021-05-01,SPY,15020
470,2021-05-01,SPTS,124422
471,2021-05-01,JNK,1387
472,2021-05-01,SPIB,776
473,2021-05-01,BWX,58306
474,2021-05-01,FLRN,2138
475,2021-05-01,SJNK,4585
476,2021-05-01,CWB,196646
477,2021-05-01,QUS,452
478,2021-05-01,TFI,491
479,2021-05-01,SHM,1975
480,2021-05-01,SPMB,19640
481,2021-05-01,SPTM,536505
482,2021-05-01,SPMD,137185
483,2021-05-01,SPLG,289247
484,2021-05-01,SPSM,2627
485,2021-05-01,SPIP,373187
486,2021-05-01,MDYG,300016
487,2021-05-01,SPYG,27012
488,2021-05-01,XAR,16
489,2021-05-01,XBI,8359
490,2021-05-01,XSW,953
491,2021-05-01,SDY,44971
492,2021-05-01,XHE,4387
493,2021-05-01,KIE,235
494,2021-05-01,XSD,7607
495,2021-05-01,BIL,385
496,2021-05-01,SPYX,135
497,2021-05-01,SHE,1734
498,2021-05-01,PSK,1607
499,2021-05-01,RLY,524
500,2021-05-01,PHYS,119927
501,2021-05-01,PSLV,187450
502,2021-05-01,SQ,8184
503,2021-05-01,SRLN,123349
504,2021-05-01,TOTL,76
505,2021-05-01,SBUX,39912
506,2021-05-01,SYY,26949
507,2021-05-01,TCHP,8186
508,2021-05-01,TGT,4507
509,2021-05-01,TSLA,288
510,2021-05-01,TXN,6151
511,2021-05-01,TTD,326
512,2021-05-01,THO,4676
513,2021-05-01,TPHD,27732
514,2021-05-01,TPLC,24077
515,2021-05-01,TJX,6056
516,2021-05-01,TRV,2395
517,2021-05-01,UNAM,43678
518,2021-05-01,UPS,2293
519,2021-05-01,UNH,3726
520,2021-05-01,OUNZ,35192
521,2021-05-01,BIZD,86157
522,2021-05-01,HYEM,44
523,2021-05-01,EVX,80
524,2021-05-01,ANGL,116565
525,2021-05-01,GDX,29608
526,2021-05-01,GDXJ,11335
527,2021-05-01,SMOG,958
528,2021-05-01,MOAT,645
529,2021-05-01,MORT,1909
530,2021-05-01,VOOG,2363
531,2021-05-01,BIV,5919
532,2021-05-01,BLV,279
533,2021-05-01,BSV,2997
534,2021-05-01,BND,18351
535,2021-05-01,BNDX,120656
